measure,year,gini,N,total_sum
labor_income_real_win,2000,,0,0
total_income_real_win,2000,,0,0
wealth_core,2000,.8266626488978986,19577,3470938112
wealth_ira,2000,.8735410038858247,19578,970569664
wealth_res,2000,.5938035357150879,19407,2040681088
wealth_total,2000,.6867484270087381,8774,3399247616
gross_wealth,2000,.6840053264741739,19578,6926999552
labor_income_real_win,2002,.5085153863401188,18165,582206848
total_income_real_win,2002,.5431026076350632,18165,942373056
wealth_core,2002,.8152992665235941,18165,3219967488
wealth_ira,2002,.8682918054454036,18165,830183296
wealth_res,2002,.5963314253017662,17983,2214158592
wealth_total,2002,.6756789613468218,11936,4536402944
gross_wealth,2002,.6732517306984549,18165,6831334400
labor_income_real_win,2004,.5211928964887491,20129,698022208
total_income_real_win,2004,.5525413415608116,20129,1115103488
wealth_core,2004,.8392869713852253,20121,4058021632
wealth_ira,2004,.8722844401247967,20129,1029703616
wealth_res,2004,.6306588929985658,19905,2979655424
wealth_total,2004,.6882234231568316,10902,4817767936
gross_wealth,2004,.6925879275629849,20129,8620705792
labor_income_real_win,2006,.508084070752451,18469,602521472
total_income_real_win,2006,.5485354108747036,18469,987903616
wealth_core,2006,.8428547721466049,18465,4246557184
wealth_ira,2006,.878241258175453,18469,1208621696
wealth_res,2006,.6239122371165339,18272,3345702400
wealth_total,2006,.6815824761846767,13299,7198183424
gross_wealth,2006,.6908455186046436,18469,9374115840
labor_income_real_win,2008,.5048625290100416,17217,552980032
total_income_real_win,2008,.5499572159903867,17217,911778368
wealth_core,2008,.8408392655225365,17217,4061317376
wealth_ira,2008,.8607079032163931,17217,1096372736
wealth_res,2008,.6368248032363605,16990,3164539648
wealth_total,2008,.6790401928661134,12178,6653289472
gross_wealth,2008,.6922963512134339,17217,8830181376
labor_income_real_win,2010,.525929744080547,22034,753113280
total_income_real_win,2010,.5447950785874442,22034,1109841408
wealth_core,2010,.8628394335815562,22026,3958991872
wealth_ira,2010,.8743177703361208,22033,1212348928
wealth_res,2010,.6519284103620496,21237,3089492480
wealth_total,2010,.6706020966506098,10781,5411931648
gross_wealth,2010,.7159025362766434,22034,8879693824
labor_income_real_win,2012,.5267555584203519,20554,685336576
total_income_real_win,2012,.553793222438228,20554,1010811712
wealth_core,2012,.8677129356229968,20552,3688267520
wealth_ira,2012,.8765882349985789,20554,1222160000
wealth_res,2012,.6532826485460024,19801,2772158464
wealth_total,2012,.6859781388643265,11808,5871361024
gross_wealth,2012,.7202291226812852,20554,8212018688
labor_income_real_win,2014,.5205938082995941,18747,633606336
total_income_real_win,2014,.5503902284310401,18747,932237376
wealth_core,2014,.8726579034159822,18746,3821221376
wealth_ira,2014,.8793349219340946,18746,1340342528
wealth_res,2014,.6614008783016351,18318,2814679296
wealth_total,2014,.6820203389260675,10533,5689055232
gross_wealth,2014,.7286228337838226,18747,8474975232
labor_income_real_win,2016,.5406332365960631,20912,761855744
total_income_real_win,2016,.5686670350656184,20912,1119608448
wealth_core,2016,.887185871376467,20906,4132114688
wealth_ira,2016,.8900953732225387,20912,1455721216
wealth_res,2016,.6728129358106489,20574,3158055424
wealth_total,2016,.6940624607106936,9140,5447534592
gross_wealth,2016,.7407008273716869,20912,9295543296
labor_income_real_win,2018,.5419490911328857,17146,602961728
total_income_real_win,2018,.5739608816803801,17146,897073536
wealth_core,2018,.8934055206163665,17143,3834216192
wealth_ira,2018,.8940331537695164,17146,1570206336
wealth_res,2018,.6820134072597974,16956,3096872960
wealth_total,2018,.7308032599891231,10858,6816560128
gross_wealth,2018,.7530082097168956,17146,9082824704
labor_income_real_win,2020,.5277800889536011,15723,562143168
total_income_real_win,2020,.563266518646945,15723,828629376
wealth_core,2020,.8768790551483957,15721,3509588480
wealth_ira,2020,.8812333229173235,15723,1679490688
wealth_res,2020,.6600193868369311,15592,3138420736
wealth_total,2020,.7061274724763082,10313,6594073088
gross_wealth,2020,.7261559578837564,15723,8828574720
labor_income_real_win,2022,.5351051225834882,15856,548890496
total_income_real_win,2022,.5714582729581354,15856,802696704
wealth_core,2022,.8814153700757923,15850,3707367680
wealth_ira,2022,.8865812412467378,15856,1954636928
wealth_res,2022,.6618692716564928,15739,3930004480
wealth_total,2022,.6985346893670381,8850,6697650176
gross_wealth,2022,.7206639328414818,15856,10177841152
