varname,N,mean,sd,p1,p5,p50,p95,p99,min,max
ln_lab_inc_final_growth_2002,0,,,,,,,,,
ln_lab_inc_final_growth_2004,173892,-.011920286,.6650762,-2.1509278,-1.0750129,-.023028271,1.0413394,2.1481786,-4.3541117,4.2757607
ln_lab_inc_final_growth_2006,190512,-.043171715,.67125309,-2.3204851,-1.143321,-.024197685,.98500514,2.0830617,-4.5364556,3.9853563
ln_lab_inc_final_growth_2008,177588,-.021679405,.65179437,-2.0581713,-1.1037287,-.016767006,1.0314178,2.1033127,-4.5847335,4.2517471
ln_lab_inc_final_growth_2010,162072,-.011841783,.70077556,-2.3575737,-1.1885732,.036764666,1.0308875,2.0349641,-5.1935587,4.6743031
ln_lab_inc_final_growth_2012,206472,-.044575654,.76685697,-2.5363402,-1.2625239,-.025661189,1.1465203,2.3909135,-5.0573297,4.9406681
ln_lab_inc_final_growth_2014,190896,.015382572,.76917535,-2.5376632,-1.1669821,-.00027350799,1.2110857,2.4543278,-5.4301767,4.9800563
ln_lab_inc_final_growth_2016,167820,.0030238917,.77931058,-2.6361282,-1.1994283,.0051325778,1.1750994,2.4369941,-5.2220759,4.9491363
ln_lab_inc_final_growth_2018,171672,-.04417735,.82419521,-2.7382855,-1.3444707,-.037178569,1.2237827,2.7261808,-5.6622825,5.8345728
ln_lab_inc_final_growth_2020,148764,.0023343565,.80273867,-2.5886595,-1.2719043,.0024662206,1.2415732,2.58145,-4.6438427,4.8430123
ln_lab_inc_final_growth_2022,128472,-.077245139,.82217723,-2.7908511,-1.4159917,-.063375339,1.1778766,2.5447447,-5.2848406,5.34168
ln_tot_inc_final_growth_2002,0,,,,,,,,,
ln_tot_inc_final_growth_2004,188484,-.034190029,.90754378,-2.9274416,-1.371335,-.02764209,1.3372483,2.885679,-6.1775222,6.6288009
ln_tot_inc_final_growth_2006,207300,-.029576488,.90217453,-2.7366641,-1.389236,-.021987293,1.3168163,2.9967029,-6.4723749,6.9622016
ln_tot_inc_final_growth_2008,191964,-.022544844,.86454165,-2.7047982,-1.34834,-.015195752,1.2958425,2.7657847,-5.6983218,5.9584913
ln_tot_inc_final_growth_2010,174084,-.082138948,.91960222,-3.0740151,-1.5424198,-.0055338922,1.2191191,2.6298351,-7.0460014,6.1571174
ln_tot_inc_final_growth_2012,224472,-.047955848,.95956242,-3.1305876,-1.4970446,-.032470774,1.4187423,3.0688906,-6.7116885,6.9344826
ln_tot_inc_final_growth_2014,205536,.0089776926,.91388392,-2.9301672,-1.3759472,-.000050871415,1.3945404,2.9115524,-6.4458575,6.2164965
ln_tot_inc_final_growth_2016,180276,-.010926108,.95377398,-3.1729612,-1.4749925,.0037396867,1.3724897,2.9743588,-6.4115534,6.9414124
ln_tot_inc_final_growth_2018,185616,-.040293053,1.0045186,-3.2813072,-1.5488621,-.036158551,1.481554,3.2471552,-7.015934,6.7022734
ln_tot_inc_final_growth_2020,159696,-.0011245027,.96543586,-2.8830531,-1.5085236,.0011930626,1.4728785,3.197782,-5.9648347,7.2581644
ln_tot_inc_final_growth_2022,137328,-.093235217,.98180038,-3.2392995,-1.6485847,-.065756194,1.3958436,2.9463265,-7.2233467,5.9134846
