age_group,mean_lab,mean_tot,n
25,11354.68460282145,11354.68460282145,2
30,32219.20842569417,88032.59818338951,8
35,22021.47885326099,60830.85024552541,28
40,27934.22335362934,47445.22182226345,95
45,38234.98207023233,63805.3734751821,233
50,47964.49804891098,69037.36079850866,1286
55,43301.5862405115,62012.85963043878,2285
60,36777.43766437769,55428.09947609804,2924
65,32283.85549515727,46993.1258527715,2641
70,30742.7328390984,43628.73144431649,2204
75,30256.03593543604,43554.85450022118,1401
80,27196.01346798538,39317.07102325113,1421
85,25669.42411385701,37901.86340031278,871
90,26644.2855056742,39474.99595111113,361
95,25472.92549039462,46537.62528477357,79
100,13389.28022521763,14516.51967285297,16
105,11111.86797027767,11111.86797027767,1
,,,0
