year,mean_lab,mean_tot,n
2000,,,0
2002,32051.02553647325,51878.50437443146,18165
2004,34677.4424855801,55397.8587688751,20129
2006,32623.39593616125,53489.82582482162,18469
2008,32118.25572715918,52958.02888678553,17217
2010,34179.59941252755,50369.49186027406,22034
2012,33343.22113201097,49178.34471779377,20554
2014,33797.74524982392,49727.28441160157,18747
2016,36431.50986608296,53539.04289044633,20912
2018,35166.32144344011,52319.69678225003,17146
2020,35752.92149948873,52701.73405751399,15723
2022,34617.21160609437,50624.16112919206,15856
