population_3bin_2020,region_2020,region_label,pop3_label,region_pop3_group,n
Small town (<10k),Northeast,Northeast,Small town (<10k),11,20
Small/med city (10k-100k),Northeast,Northeast,Small/med city (10k-100k),12,48
Large metro (100k+),Northeast,Northeast,Large metro (100k+),13,40
Small town (<10k),Midwest,Midwest,Small town (<10k),21,40
Small/med city (10k-100k),Midwest,Midwest,Small/med city (10k-100k),22,68
Large metro (100k+),Midwest,Midwest,Large metro (100k+),23,30
Small town (<10k),South,South,Small town (<10k),31,77
Small/med city (10k-100k),South,South,Small/med city (10k-100k),32,138
Large metro (100k+),South,South,Large metro (100k+),33,101
Small town (<10k),West,West,Small town (<10k),41,26
Small/med city (10k-100k),West,West,Small/med city (10k-100k),42,55
Large metro (100k+),West,West,Large metro (100k+),43,79
