outcome,trust,stub,step,ord,N_after
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,BASE(outcome+trust),0,1080
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ age_2020,1,1080
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ gender,2,1080
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ educ_yrs,3,1075
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ married_2020,4,1074
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ born_us,5,1074
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ inlbrf_2020,6,1069
ihs_lab_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ race_eth,7,1068
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,BASE(outcome+trust),0,990
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ age_2020,1,990
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ gender,2,990
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ educ_yrs,3,986
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ married_2020,4,985
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ born_us,5,985
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ inlbrf_2020,6,979
ihs_lab_inc_defl_win_s_2020,trust_banks_2020,banks,+ race_eth,7,978
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,BASE(outcome+trust),0,900
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ age_2020,1,900
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ gender,2,900
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ educ_yrs,3,896
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ married_2020,4,895
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ born_us,5,895
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ inlbrf_2020,6,891
ihs_lab_inc_defl_win_s_2020,trust_others_2020,general,+ race_eth,7,890
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,BASE(outcome+trust),0,1147
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ age_2020,1,1147
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ gender,2,1147
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ educ_yrs,3,1141
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ married_2020,4,1140
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ born_us,5,1140
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ inlbrf_2020,6,1134
ihs_lab_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ race_eth,7,1133
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,BASE(outcome+trust),0,1235
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ age_2020,1,1235
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ gender,2,1235
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ educ_yrs,3,1228
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ married_2020,4,1227
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ born_us,5,1227
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ inlbrf_2020,6,1222
ihs_lab_inc_defl_win_s_2020,trust_media_2020,media,+ race_eth,7,1221
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,BASE(outcome+trust),0,1029
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ age_2020,1,1029
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ gender,2,1029
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ educ_yrs,3,1022
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ married_2020,4,1021
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ born_us,5,1021
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ inlbrf_2020,6,1014
ihs_lab_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ race_eth,7,1013
