age_group,mean_lab,mean_tot,n
25,33573.2786046483,42684.54990597133,7
30,29319.3158628573,85055.64791006428,9
35,28414.45817148842,66191.95559853324,37
40,33959.91701911117,64267.81137058037,105
45,39254.99042786853,64877.56253184447,250
50,41412.2967415895,72377.16002779412,783
55,44303.5704650901,72493.52322503863,2381
60,36243.58992176374,60750.64999993128,3653
65,31483.0037887216,50403.30289981076,3303
70,27869.08467035335,45926.14115019609,2569
75,25526.62577063068,39306.29199514771,2039
80,24144.7398314869,34633.99196026661,1660
85,22594.34093469559,32256.54036946753,868
90,19219.12941324802,28829.51021036438,399
95,20210.75806058521,32284.7341443886,89
100,13962.42586965717,17743.72397916788,10
105,11618.07610380342,11618.07610380342,3
,,,0
